site,year,date,datescaled,siteyear,siteday,treeID,recorder,caterpillars,temp_m.cent,temp_ls.cent,temp_lm.cent,resid
BAD,2014,120,-1.980650036,BAD 2014,BAD 120 2014,BAD 1,ABP,0,1.010393295,0.834143143,1.193222814,1
BAD,2014,120,-1.980650036,BAD 2014,BAD 120 2014,BAD 5,ABP,0,1.010393295,0.834143143,1.193222814,2
FOF,2014,120,-1.980650036,FOF 2014,FOF 120 2014,FOF 7,ABP,0,1.507552521,1.060131025,1.243029362,3
FOF,2014,120,-1.980650036,FOF 2014,FOF 120 2014,FOF 6,ABP,0,1.507552521,1.060131025,1.243029362,4
GLF,2014,120,-1.980650036,GLF 2014,GLF 120 2014,GLF 2,ABP,0,1.516827818,1.2180681,1.612950493,5
GLF,2014,120,-1.980650036,GLF 2014,GLF 120 2014,GLF 7,ABP,0,1.516827818,1.2180681,1.612950493,6
LVN,2014,120,-1.980650036,LVN 2014,LVN 120 2014,LVN 3,ABP,0,1.646716211,1.255042377,1.421811604,7
LVN,2014,120,-1.980650036,LVN 2014,LVN 120 2014,LVN 5,ABP,0,1.646716211,1.255042377,1.421811604,8
MCH,2014,120,-1.980650036,MCH 2014,MCH 120 2014,MCH 1,ABP,0,2.462428017,1.869197777,1.985667754,9
MCH,2014,120,-1.980650036,MCH 2014,MCH 120 2014,MCH 6,ABP,0,2.462428017,1.869197777,1.985667754,10
ALN,2014,121,-1.909667396,ALN 2014,ALN 121 2014,ALN 1,ABP,0,1.704780199,1.118110404,1.135086901,11
AVI,2014,121,-1.909667396,AVI 2014,AVI 121 2014,AVI 4,ABP,0,0.788794584,0.553026433,0.938971326,12
BIR,2014,121,-1.909667396,BIR 2014,BIR 121 2014,BIR 6,JDS,0,1.074345676,0.838789826,1.286855254,13
BLA,2014,121,-1.909667396,BLA 2014,BLA 121 2014,BLA 6,ABP,0,0.629639822,0.723221586,1.229954957,14
BLG,2014,121,-1.909667396,BLG 2014,BLG 121 2014,BLG 1,JDS,0,1.704894287,1.333647607,1.693670235,15
DNC,2014,121,-1.909667396,DNC 2014,DNC 121 2014,DNC 3,ABP,0,-0.356315039,-0.311735897,0.132741663,16
DNM,2014,121,-1.909667396,DNM 2014,DNM 121 2014,DNM 3,JDS,0,0.056146767,0.04502452,0.47487212,17
NEW,2014,121,-1.909667396,NEW 2014,NEW 121 2014,NEW 1,ABP,0,0.75034766,0.541354027,0.899491167,18
PTH,2014,121,-1.909667396,PTH 2014,PTH 121 2014,PTH 6,JDS,0,2.378797064,2.020973075,2.431389481,19
TAI,2014,121,-1.909667396,TAI 2014,TAI 121 2014,TAI 7,ABP,1,1.924531687,1.034687148,0.864537794,20
TOM,2014,121,-1.909667396,TOM 2014,TOM 121 2014,TOM 6,JDS,0,0.615702818,0.285267505,0.495724798,21
BAD,2014,122,-1.838684756,BAD 2014,BAD 122 2014,BAD 3,ABP,0,1.010393295,0.834143143,1.193222814,22
CAL,2014,122,-1.838684756,CAL 2014,CAL 122 2014,CAL 5,JDS,0,0.683556985,0.949228814,1.88394206,23
CAR,2014,122,-1.838684756,CAR 2014,CAR 122 2014,CAR 2,ICZ,0,0.788289624,0.400506025,0.620249104,24
CRU,2014,122,-1.838684756,CRU 2014,CRU 122 2014,CRU 6,ICZ,0,0.23725887,0.20521861,0.737804659,25
DAV,2014,122,-1.838684756,DAV 2014,DAV 122 2014,DAV 5,ICZ,0,1.088387342,0.626838933,0.703823508,26
DEL,2014,122,-1.838684756,DEL 2014,DEL 122 2014,DEL 5,ABP,0,2.06269637,1.116545991,0.943341366,27
DOR,2014,122,-1.838684756,DOR 2014,DOR 122 2014,DOR 3,JDS,0,1.984840219,1.300534724,1.197364679,28
DUN,2014,122,-1.838684756,DUN 2014,DUN 122 2014,DUN 1,JDS,0,1.25347266,0.797484342,1.230031346,29
FOF,2014,122,-1.838684756,FOF 2014,FOF 122 2014,FOF 4,ABP,0,1.507552521,1.060131025,1.243029362,30
FSH,2014,122,-1.838684756,FSH 2014,FSH 122 2014,FSH 4,ABP,0,0.740810953,0.680477751,1.140761504,31
GLF,2014,122,-1.838684756,GLF 2014,GLF 122 2014,GLF 5,ABP,0,1.516827818,1.2180681,1.612950493,32
INS,2014,122,-1.838684756,INS 2014,INS 122 2014,INS 5,JDS,0,0.979674545,0.788011765,1.208358231,33
LVN,2014,122,-1.838684756,LVN 2014,LVN 122 2014,LVN 4,ABP,0,1.646716211,1.255042377,1.421811604,34
MCH,2014,122,-1.838684756,MCH 2014,MCH 122 2014,MCH 3,ABP,0,2.462428017,1.869197777,1.985667754,35
ALN,2014,123,-1.767702116,ALN 2014,ALN 123 2014,ALN 5,JDS,0,1.704780199,1.118110404,1.135086901,36
ALN,2014,123,-1.767702116,ALN 2014,ALN 123 2014,ALN 6,ABP,0,1.704780199,1.118110404,1.135086901,37
AVI,2014,123,-1.767702116,AVI 2014,AVI 123 2014,AVI 3,JDS,0,0.788794584,0.553026433,0.938971326,38
AVI,2014,123,-1.767702116,AVI 2014,AVI 123 2014,AVI 5,ABP,0,0.788794584,0.553026433,0.938971326,39
BIR,2014,123,-1.767702116,BIR 2014,BIR 123 2014,BIR 1,ABP,0,1.074345676,0.838789826,1.286855254,40
BIR,2014,123,-1.767702116,BIR 2014,BIR 123 2014,BIR 2,ABP,0,1.074345676,0.838789826,1.286855254,41
BIR,2014,123,-1.767702116,BIR 2014,BIR 123 2014,BIR 5,ABP,0,1.074345676,0.838789826,1.286855254,42
BLA,2014,123,-1.767702116,BLA 2014,BLA 123 2014,BLA 2,JDS,0,0.629639822,0.723221586,1.229954957,43
BLG,2014,123,-1.767702116,BLG 2014,BLG 123 2014,BLG 6,ICZ,0,1.704894287,1.333647607,1.693670235,44
BLG,2014,123,-1.767702116,BLG 2014,BLG 123 2014,BLG 2,JDS,0,1.704894287,1.333647607,1.693670235,45
DNC,2014,123,-1.767702116,DNC 2014,DNC 123 2014,DNC 1,ABP,0,-0.356315039,-0.311735897,0.132741663,46
DNC,2014,123,-1.767702116,DNC 2014,DNC 123 2014,DNC 6,JDS,0,-0.356315039,-0.311735897,0.132741663,47
DNM,2014,123,-1.767702116,DNM 2014,DNM 123 2014,DNM 2,ABP,0,0.056146767,0.04502452,0.47487212,48
MUN,2014,123,-1.767702116,MUN 2014,MUN 123 2014,MUN 2,JDS,1,1.556335259,1.05614208,1.139247616,49
MUN,2014,123,-1.767702116,MUN 2014,MUN 123 2014,MUN 3,ICZ,0,1.556335259,1.05614208,1.139247616,50
MUN,2014,123,-1.767702116,MUN 2014,MUN 123 2014,MUN 4,ABP,0,1.556335259,1.05614208,1.139247616,51
NEW,2014,123,-1.767702116,NEW 2014,NEW 123 2014,NEW 5,ABP,0,0.75034766,0.541354027,0.899491167,52
NEW,2014,123,-1.767702116,NEW 2014,NEW 123 2014,NEW 2,JDS,0,0.75034766,0.541354027,0.899491167,53
NEW,2014,123,-1.767702116,NEW 2014,NEW 123 2014,NEW 4,ICZ,0,0.75034766,0.541354027,0.899491167,54
PTH,2014,123,-1.767702116,PTH 2014,PTH 123 2014,PTH 3,JDS,0,2.378797064,2.020973075,2.431389481,55
PTH,2014,123,-1.767702116,PTH 2014,PTH 123 2014,PTH 1,JDS,0,2.378797064,2.020973075,2.431389481,56
TAI,2014,123,-1.767702116,TAI 2014,TAI 123 2014,TAI 2,ICZ,0,1.924531687,1.034687148,0.864537794,57
TAI,2014,123,-1.767702116,TAI 2014,TAI 123 2014,TAI 5,JDS,0,1.924531687,1.034687148,0.864537794,58
TOM,2014,123,-1.767702116,TOM 2014,TOM 123 2014,TOM 1,JDS,0,0.615702818,0.285267505,0.495724798,59
TOM,2014,123,-1.767702116,TOM 2014,TOM 123 2014,TOM 3,JDS,0,0.615702818,0.285267505,0.495724798,60
TOM,2014,123,-1.767702116,TOM 2014,TOM 123 2014,TOM 4,ABP,0,0.615702818,0.285267505,0.495724798,61
BAD,2014,124,-1.696719476,BAD 2014,BAD 124 2014,BAD 1,ABP,0,1.010393295,0.834143143,1.193222814,62
BAD,2014,124,-1.696719476,BAD 2014,BAD 124 2014,BAD 5,ABP,0,1.010393295,0.834143143,1.193222814,63
BAD,2014,124,-1.696719476,BAD 2014,BAD 124 2014,BAD 6,ABP,0,1.010393295,0.834143143,1.193222814,64
