"siteyear","temp.mu","temp.logsigma","temp.logmax"
"ALN 2014",7.53102728174603,8.93253550170068,10.0526021825397
"ALN 2015",6.8907619047619,7.63797512755102,8.42849603174603
"ALN 2016",6.50285714285714,7.73202295918367,8.43027579365079
"ALN 2017",7.35313194444444,8.83998384353741,9.29577678571429
"ALN 2018",4.94961954365079,8.10959970238095,10.5153511904762
"ALN 2019",6.08843055555556,8.11772427721088,9.78522767857143
"ALN 2020",6.24518303571429,8.32772342687075,9.34374851190476
"ART 2016",6.51528125,7.73328465136054,8.28386259920635
"ART 2017",7.46993055555556,8.93824234693878,9.43160119047619
"ART 2018",5.2519558531746,8.14919345238095,10.7305431547619
"ART 2019",6.57958482142857,8.58240943877551,10.3255773809524
"ART 2020",6.72277678571429,8.59099468537415,9.50663343253968
"ART 2021",6.2724503968254,7.75432780612245,7.83340773809524
"AVI 2014",6.61504166666667,8.36745153061224,9.85648660714286
"AVI 2015",5.63352281746032,6.5651262755102,7.45943551587302
"AVI 2016",4.98854365079365,6.63939328231293,7.51997817460317
"AVI 2017",6.3013253968254,7.84133630952381,8.32404861111111
"AVI 2018",4.00468452380952,7.58312882653061,9.97204117063492
"AVI 2019",5.04280902777778,7.46624638605442,9.36112053571429
"AVI 2020",5.51769246031746,7.78441135204082,8.95106398809524
"AVI 2021",4.52365972222222,6.35109119897959,6.31259275793651
"AVN 2015",5.91534672619048,6.80672682823129,7.61850148809524
"AVN 2016",5.41721974206349,7.06135714285714,7.90098462301587
"AVN 2017",6.77599702380952,8.17700085034014,8.53739484126984
"AVN 2018",4.27713095238095,7.96996726190476,10.5369895833333
"AVN 2019",5.28871726190476,7.62034927721088,9.42718154761905
"AVN 2020",5.66411111111111,7.78212840136054,8.89717361111111
"AVN 2021",4.87061805555556,6.65461543367347,6.57103819444444
"BAD 2014",6.83664037698413,8.64856823979592,10.1107380952381
"BAD 2015",6.05575892857143,7.15077380952381,8.00955357142857
"BAD 2016",5.59220337301587,7.1857918792517,7.98445089285714
"BAD 2017",7.35726388888889,8.74783205782313,9.26091765873016
"BAD 2018",4.15333779761905,7.46756356292517,9.85117509920635
"BAD 2019",5.85397271825397,8.0346781462585,9.27462053571429
"BAD 2020",6.12329265873016,7.95751679421769,9.00707986111111
"BAD 2021",5.83327380952381,7.27115051020408,7.25798908730159
"BIR 2014",6.90059275793651,8.65321492346939,10.2043705357143
"BIR 2015",5.96490575396825,7.22415412414966,8.22784722222222
"BIR 2016",5.73494246031746,7.67109268707483,8.82747023809524
"BIR 2017",7.28045089285714,8.6631662414966,9.28407688492064
"BIR 2018",4.04443154761905,7.64140858843537,9.99431498015873
"BIR 2019",5.85469196428571,7.87475170068027,8.99966170634921
"BIR 2020",6.05524900793651,7.95760522959184,9.00454067460318
"BIR 2021",5.34300198412698,6.64363265306122,6.47520337301587
"BLA 2014",6.4558869047619,8.53764668367347,10.1474702380952
"BLA 2015",5.40075297619048,6.41068048469388,7.32894444444444
"BLA 2016",5.25208035714286,7.27387988945578,8.42452728174603
"BLA 2017",6.5349871031746,8.25246109693878,8.99994791666667
"BLA 2018",3.99813244047619,7.5053450255102,9.64672817460317
"BLA 2019",5.37892113095238,7.66011649659864,9.18629613095238
"BLA 2020",5.58596924603175,7.77284056122449,9.13766021825397
"BLA 2021",5.11152380952381,6.87400085034014,6.88147966269841
"BLG 2014",7.53114136904762,9.14807270408163,10.611185515873
"BLG 2015",6.68530654761905,7.73250170068027,8.66469444444444
"BLG 2016",6.26510267857143,8.10340922619048,9.15274900793651
"BLG 2017",7.82603125,9.17745344387755,9.84801587301587
"BLG 2018",4.93685515873016,8.43006887755102,10.7544801587302
"BLG 2019",6.55915773809524,8.54039838435374,9.83690079365079
"BLG 2020",6.27078323412698,8.05560140306122,9.10858878968254
"BLG 2021",6.83686160714286,8.0474268707483,7.86487003968254
"CAL 2014",6.50980406746032,8.76365391156463,10.8014573412698
"CAL 2015",5.56215029761905,6.7453218537415,7.7251810515873
"CAL 2016",5.29299255952381,7.25929676870748,8.2022748015873
"CAL 2017",6.64175496031746,8.33787011054422,9.15218551587302
"CAL 2018",3.75942906746032,7.41838031462585,9.53858630952381
"CAL 2019",5.36382390873016,7.56225042517007,9.03660763888889
"CAL 2020",5.29364136904762,7.42287329931973,8.74502033730159
"CAL 2021",5.36910267857143,7.09652274659864,7.11202728174603
"CAR 2014",6.61453670634921,8.21493112244898,9.53776438492064
"CAR 2015",5.62746626984127,6.53308205782313,7.32951091269841
"CAR 2016",5.15115079365079,6.81256292517007,7.73928174603175
"CAR 2017",6.5109816468254,7.89607674319728,8.14287351190476
"CAR 2018",4.05523313492063,7.52253932823129,9.92903720238095
"CAR 2019",5.18812003968254,7.63743133503401,9.43134226190476
"CAR 2020",5.4002251984127,7.50232057823129,8.45165625
"CAR 2021",5.46073313492063,7.14318792517007,7.03419990079365
"CRU 2014",6.06350595238095,8.01964370748299,9.65531994047619
"CRU 2015",5.21995138888889,6.26661883503401,7.21337400793651
"CRU 2016",4.76902579365079,6.36876573129252,7.07046974206349
"CRU 2017",6.2582316468254,7.7854587585034,8.20528125
"CRU 2018",3.57761408730159,7.28371386054422,9.48509275793651
"CRU 2019",4.65587152777778,7.13209651360544,8.90457589285714
"CRU 2020",5.14253720238095,7.4048025085034,8.6700753968254
"CRU 2021",4.64896081349206,6.59587032312925,6.71386607142857
"DAV 2014",6.91463442460317,8.44126403061225,9.62133878968254
"DAV 2015",5.9132619047619,6.72494451530612,7.48129563492063
"DAV 2016",5.53257291666667,6.87089455782313,7.4606001984127
"DAV 2017",6.66309325396825,8.27956292517007,8.84741021825397
"DAV 2018",4.3618318452381,7.5294049744898,10.0220873015873
"DAV 2019",4.97099603174603,7.31261649659864,9.24628571428571
"DAV 2020",5.65021130952381,7.77304528061225,8.69287301587302
"DAV 2021",5.04087251984127,6.76074787414966,6.64706746031746
"DEL 2014",7.88894345238095,8.93097108843537,9.8608566468254
"DEL 2015",7.24170486111111,7.77135990646259,8.41711507936508
"DEL 2016",6.67791716269841,7.78830846088435,8.44729464285714
"DEL 2017",7.32174107142857,8.74564710884354,9.19443849206349
"DEL 2018",5.28684771825397,8.01974829931973,10.3196750992063
"DEL 2019",6.58303224206349,8.3292406462585,9.77017906746032
"DEL 2020",6.70261359126984,8.36431972789116,9.08983829365079
